,word,ico_english,ico_turkish,ico_indonesian,ico_hungarian,ico_arabic,ico_vietnamese,ico_rating_2022,ico_rating_2017
56,appetizer,0.28147334,0.2787619,0.28811833,0.2917809,0.2786589,0.29098615,2.8,
57,appetizer,0.2679619,0.25912786,0.30713105,0.2787525,0.25442508,0.30816323,2.8,
58,appetizer,0.30076885,0.30465552,0.32657972,0.3189051,0.29505092,0.32808733,2.8,
59,appetizer,0.2504881,0.25341523,0.31693602,0.27191287,0.23702134,0.319331,2.8,
60,appetizer,0.25862375,0.2608173,0.30186358,0.2647795,0.24522394,0.2874615,2.8,
61,appetizer,0.27046487,0.26008624,0.28922594,0.27576953,0.26109004,0.29251298,2.8,
62,appetizer,0.24473406,0.24413429,0.28465155,0.2652329,0.24201119,0.26353827,2.8,
63,retainer,0.32570693,0.32386392,0.34540465,0.31327996,0.32098836,0.34068525,,
64,retainer,0.27120718,0.27023244,0.29045263,0.2726634,0.26662084,0.28712708,,
65,retainer,0.29520294,0.284203,0.2952814,0.2899341,0.29844004,0.30094692,,
66,retainer,0.28324157,0.2771192,0.2799555,0.27025676,0.28042093,0.27775922,,
67,retainer,0.27119935,0.27339903,0.28468338,0.2794319,0.25854295,0.28224522,,
68,retainer,0.29858616,0.2932049,0.31427136,0.2833279,0.2984119,0.30204105,,
69,retainer,0.30751342,0.30492947,0.31361645,0.30316225,0.31223452,0.30350798,,
70,retainer,0.30011255,0.31173867,0.3269786,0.3072255,0.31322807,0.3227902,,
71,retainer,0.19099633,0.187606,0.20989367,0.1873544,0.19380711,0.19465248,,
72,retainer,0.31928566,0.32485238,0.33698496,0.31823787,0.32279804,0.33492625,,
73,retainer,0.29547924,0.292968,0.30456924,0.28769684,0.27761215,0.29741243,,
74,retainer,0.31042513,0.3025567,0.3180998,0.3013518,0.3047401,0.31628448,,
75,chip,0.2654965,0.25630575,0.26795995,0.2679236,0.25638622,0.25007057,5.2,
76,chip,0.26478046,0.2630208,0.2824373,0.27459338,0.2725181,0.25513184,5.2,
77,chip,0.21486938,0.21340066,0.21719587,0.2147437,0.21895589,0.208435,5.2,
78,chip,0.29409438,0.28042004,0.30063188,0.29887697,0.29150596,0.27841634,5.2,
79,chip,0.27591345,0.26577574,0.28640425,0.2861878,0.27413526,0.27256387,5.2,
80,chip,0.24956484,0.2419841,0.26473457,0.25223103,0.24955176,0.23473172,5.2,
81,chip,0.21999079,0.21835473,0.2367046,0.22911918,0.21863611,0.21517512,5.2,
82,chip,0.180506,0.17924266,0.18637475,0.17565145,0.1699837,0.17027521,5.2,
83,chip,0.22315152,0.20796785,0.22514707,0.21730073,0.214618,0.1991733,5.2,
84,chip,0.24607678,0.24687073,0.25682956,0.24698517,0.24376836,0.2329825,5.2,
85,chip,0.26527745,0.25512946,0.26589844,0.26332846,0.26120716,0.24970505,5.2,
86,chip,0.26106402,0.25602588,0.26839057,0.26622766,0.25655982,0.24078132,5.2,
87,garbage,0.2517868,0.23982246,0.24426928,0.24111623,0.25425205,0.23379858,,0.333333333
88,garbage,0.16199157,0.15830056,0.17491527,0.15700544,0.16624707,0.16478358,,0.333333333
89,garbage,0.22327693,0.21654832,0.2371484,0.2225195,0.23177278,0.21602023,,0.333333333
90,garbage,0.26133445,0.254344,0.2710802,0.25699478,0.26964584,0.24782896,,0.333333333
91,garbage,0.24730997,0.2382056,0.24890253,0.23501465,0.24367294,0.23428623,,0.333333333
92,garbage,0.2683764,0.2621173,0.28559157,0.28062433,0.2805861,0.25065503,,0.333333333
93,garbage,0.27435872,0.26479182,0.28390384,0.26822567,0.2774708,0.26598912,,0.333333333
94,garbage,0.26339963,0.2601881,0.28012064,0.272235,0.27723467,0.25575846,,0.333333333
95,garbage,0.19229971,0.19463322,0.20398505,0.19607522,0.20319514,0.18922529,,0.333333333
96,garbage,0.3007628,0.29172608,0.29022023,0.280749,0.3047248,0.30047488,,0.333333333
97,garbage,0.24830826,0.24904405,0.26073572,0.23484316,0.2461731,0.24019098,,0.333333333
98,garbage,0.26808208,0.26019186,0.2708711,0.26806283,0.26495272,0.25749436,,0.333333333
99,beehive,0.22655635,0.23965196,0.23903163,0.21363121,0.22684138,0.22237639,4.3,1.545454545
100,beehive,0.28612915,0.2833665,0.27363768,0.26503667,0.27661943,0.28115833,4.3,1.545454545
101,beehive,0.26501983,0.26081812,0.26167768,0.2551834,0.26266676,0.25971285,4.3,1.545454545
102,beehive,0.30963373,0.31677705,0.30436125,0.2961619,0.28873694,0.31574813,4.3,1.545454545
103,beehive,0.24326244,0.24784626,0.24538662,0.22772235,0.23112565,0.23984209,4.3,1.545454545
104,beehive,0.28970215,0.29598498,0.28173733,0.27355888,0.27633402,0.28124768,4.3,1.545454545
105,beehive,0.31995547,0.31594616,0.32120934,0.31636906,0.31901884,0.31223938,4.3,1.545454545
106,beehive,0.30004013,0.28645346,0.29040927,0.28312436,0.2930033,0.30179733,4.3,1.545454545
107,beehive,0.3118427,0.30538234,0.30055013,0.30084482,0.2975325,0.3071147,4.3,1.545454545
108,beehive,0.28935546,0.2865834,0.28396437,0.27651265,0.27802795,0.29496816,4.3,1.545454545
109,beehive,0.26047,0.25926125,0.2600197,0.25684035,0.24548346,0.25566757,4.3,1.545454545
110,beehive,0.28235862,0.27860102,0.27563527,0.26854646,0.27243552,0.2824288,4.3,1.545454545
111,beehive,0.24252877,0.23545165,0.23516482,0.22985679,0.23504844,0.23671874,4.3,1.545454545
112,guillotine,0.2262041,0.21532597,0.24815746,0.21964668,0.23577487,0.21102636,2.9,
113,guillotine,0.23770618,0.23662001,0.26709506,0.23800446,0.25318465,0.2182638,2.9,
114,guillotine,0.19761,0.19621886,0.21395303,0.19678172,0.2034621,0.17351753,2.9,
115,guillotine,0.22354275,0.22490397,0.23980322,0.22611813,0.23960553,0.20862052,2.9,
116,guillotine,0.22537881,0.2231585,0.25198603,0.22819139,0.24112843,0.20024228,2.9,
117,guillotine,0.24892983,0.25547612,0.24329822,0.23100482,0.250778,0.23096061,2.9,
118,guillotine,0.2448432,0.24997304,0.27226353,0.25063092,0.25455034,0.2297113,2.9,
119,guillotine,0.22885753,0.22984867,0.2518078,0.23109457,0.24234664,0.21273749,2.9,
120,guillotine,0.27964056,0.28475204,0.30428398,0.28596961,0.29051492,0.2596531,2.9,
121,guillotine,0.27857828,0.27266538,0.30310872,0.27589262,0.28897524,0.25726107,2.9,
122,guillotine,0.18089874,0.18504229,0.18203537,0.1733977,0.18580244,0.16615425,2.9,
123,guillotine,0.24391283,0.2508245,0.27618253,0.251211,0.25793263,0.22720519,2.9,
124,guillotine,0.1777514,0.17754039,0.19740476,0.17620951,0.18247238,0.15674876,2.9,
125,guillotine,0.2319946,0.23466869,0.24579832,0.2241289,0.24264288,0.21133289,2.9,
126,gorilla,0.23898849,0.23574148,0.19803178,0.1946504,0.22157699,0.20927174,2.8,0.818181818
127,gorilla,0.240353,0.23253947,0.2053979,0.196406,0.21173073,0.20653035,2.8,0.818181818
128,gorilla,0.26109812,0.26309696,0.21460035,0.20784892,0.22471128,0.23129983,2.8,0.818181818
129,gorilla,0.25236788,0.24676073,0.20645536,0.20966022,0.22588018,0.22163437,2.8,0.818181818
130,gorilla,0.24159947,0.24258868,0.229376,0.20874818,0.22395043,0.22844724,2.8,0.818181818
131,gorilla,0.248576,0.250176,0.2025422,0.20622924,0.2238498,0.21813273,2.8,0.818181818
132,gorilla,0.24912655,0.24611925,0.21274255,0.20803812,0.2277045,0.22054923,2.8,0.818181818
133,gorilla,0.2736288,0.27568868,0.21894552,0.20931445,0.2380989,0.23545437,2.8,0.818181818
134,gorilla,0.21481343,0.20933892,0.1845321,0.18272379,0.18958671,0.19661853,2.8,0.818181818
135,gorilla,0.2164222,0.21214181,0.17952348,0.18367282,0.19841705,0.19156986,2.8,0.818181818
136,gorilla,0.2681194,0.2713333,0.22639395,0.22740531,0.24576294,0.24192613,2.8,0.818181818
137,gorilla,0.23175019,0.2299338,0.21474999,0.20207445,0.2148448,0.21673425,2.8,0.818181818
138,gorilla,0.25696385,0.2489595,0.22439633,0.21747264,0.22563201,0.23355609,2.8,0.818181818
139,gorilla,0.26704624,0.26600423,0.21469508,0.21443076,0.23443912,0.23120289,2.8,0.818181818
140,gorilla,0.28417766,0.27467954,0.23434332,0.22711664,0.24419692,0.24790186,2.8,0.818181818
141,gorilla,0.27985296,0.2739662,0.2396709,0.22700913,0.24903235,0.24677293,2.8,0.818181818
142,gorilla,0.2416515,0.22906229,0.2167563,0.20899536,0.22484486,0.21809101,2.8,0.818181818
143,gorilla,0.28113875,0.27810255,0.23293796,0.22332017,0.23660287,0.24089253,2.8,0.818181818
144,gorilla,0.22047065,0.21316537,0.18766479,0.17542826,0.19418378,0.19040824,2.8,0.818181818
145,gorilla,0.2423861,0.22770461,0.20435832,0.20255251,0.21404532,0.21409802,2.8,0.818181818
146,gorilla,0.29080003,0.28691596,0.26322374,0.24015692,0.26478353,0.26477584,2.8,0.818181818
147,cauliflower,0.2262542,0.20935735,0.25296772,0.22672239,0.19983634,0.26813018,4.363636363636363,0.727272727
148,cauliflower,0.2018386,0.19450139,0.2365676,0.20741701,0.18381503,0.25367135,4.363636363636363,0.727272727
149,cauliflower,0.17763902,0.16751717,0.20679842,0.17674208,0.15335254,0.21642664,4.363636363636363,0.727272727
150,cauliflower,0.23551264,0.2205686,0.2541627,0.23460831,0.20854537,0.2745278,4.363636363636363,0.727272727
151,cauliflower,0.22037145,0.20525646,0.2439914,0.220573,0.1899323,0.26165912,4.363636363636363,0.727272727
152,cauliflower,0.18243559,0.17371584,0.21049634,0.18583527,0.15966614,0.2258208,4.363636363636363,0.727272727
153,cauliflower,0.25010863,0.23728262,0.26307645,0.24761379,0.21935849,0.28896064,4.363636363636363,0.727272727
154,cauliflower,0.22320384,0.20543963,0.24240297,0.22113545,0.19630009,0.269209,4.363636363636363,0.727272727
155,cauliflower,0.18959013,0.18190306,0.22077222,0.19480965,0.1683344,0.2325981,4.363636363636363,0.727272727
156,cauliflower,0.1645458,0.15179221,0.18633056,0.15866502,0.14062709,0.19692923,4.363636363636363,0.727272727
